"Paper";"Citations"
"FANG, HUANG, MANAGING DATA LAKES IN BIG DATA ERA: WHAT'S A DATA LAKE AND WHY HAS IT BECAME POPULAR IN DATA MANAGEMENT ECOSYSTEM, 2015 IEEE INTERNATIONAL CONFERENCE ON CYBER TECHNOLOGY IN AUTOMATION, CONTROL AND INTELLIGENT SYSTEMS, IEEE-CYBER 2015, PP. 820-824, (2015)";42
"ARMBRUST, MICHAEL, LAKEHOUSE: A NEW GENERATION OF OPEN PLATFORMS THAT UNIFY DATA WAREHOUSING AND ADVANCED ANALYTICS, 11TH ANNUAL CONFERENCE ON INNOVATIVE DATA SYSTEMS RESEARCH, CIDR 2021, (2021)";35
"HAI, RIHAN, CONSTANCE: AN INTELLIGENT DATA LAKE SYSTEM, PROCEEDINGS OF THE ACM SIGMOD INTERNATIONAL CONFERENCE ON MANAGEMENT OF DATA, 26-JUNE-2016, PP. 2097-2100, (2016)";35
"UNDEFINED, (2021)";35
"CHEN, MIN, BIG DATA: A SURVEY, MOBILE NETWORKS AND APPLICATIONS, 19, 2, PP. 171-209, (2014)";29
"UNDEFINED, (2019)";29
"DEAN, JEFFREY, MAPREDUCE: SIMPLIFIED DATA PROCESSING ON LARGE CLUSTERS, COMMUNICATIONS OF THE ACM, 51, 1, PP. 107-113, (2008)";28
"UNDEFINED, (2016)";28
"UNDEFINED, (2020)";28
"ITM WEB CONF, (2018)";27
